MAG,orf,FeGenie_HMM,Shaomei_Type,METABOLIC
T7-022_megahit_metabat_bin-222,Not_found,Not_found,Not_found,Not_found
T7-022_megahit_metabat_bin-045,bin-045:101/816_2,MtoA,Not_found,Not_found
T7-022_megahit_metabat_bin-045,bin-045:101/816_3,MtrB_TIGR03509,Not_found,Not_found
T7-022_megahit_metabat_bin-045,bin-045:101/816_4,CymA,Not_found,Not_found
T7-022_megahit_metabat_bin-045,bin-045:259/816_29,Cyc2_repCluster2,Not_found,Not_found
T7-022_megahit_metabat_bin-045,bin-045:259/816_30,Cyc1,Not_found,Not_found
T7-022_megahit_metabat_bin-045,bin-045:508/816_1,Cyc2_repCluster2,Not_found,Not_found
T7-022_megahit_metabat_bin-045,bin-045:589/816_2,Cyc1,Not_found,Not_found
T7-022_megahit_metabat_bin-045,bin-045:589/816_3,Cyc2_repCluster2,Not_found,Not_found
T7-022_megahit_metabat_bin-045,bin-045:496/816_6,Cyc2_repCluster2,Not_found,Not_found
T7-022_megahit_metabat_bin-045,bin-045:133/816_19,Cyc2_repCluster2,Not_found,Not_found
T7-022_megahit_metabat_bin-045,bin-045:299/816_3,DFE_0465,Not_found,Not_found
T7-022_megahit_metabat_bin-045,bin-045:299/816_4,MtrC_TIGR03507,Outer_Surface_MHC,Not_found
T7-022_megahit_metabat_bin-045,bin-045:325/816_2,DFE_0462,Outer_Surface_MHC_in_PCC,Not_found
T7-022_megahit_metabat_bin-045,bin-045:473/816_21,DFE_0449,Not_found,Not_found
T7-022_megahit_metabat_bin-045,bin-045:325/816_1,Not_found,PCC_porin,Not_found
T7-022_megahit_metabat_bin-045,bin-045:535/816_1,Not_found,Outer_Surface_MHC,Not_found
T7-022_megahit_metabat_bin-310,bin-310:120/145_18,MtoA,Not_found,Not_found
T7-022_megahit_metabat_bin-310,bin-310:120/145_19,MtrB_TIGR03509,Not_found,Not_found
T7-022_megahit_metabat_bin-310,bin-310:033/145_6,Cyc1,Not_found,Not_found
T7-022_megahit_metabat_bin-310,bin-310:033/145_7,Cyc2_repCluster2,Not_found,Not_found
T7-022_megahit_metabat_bin-310,bin-310:111/145_15,Cyc2_repCluster2,Not_found,Not_found
T7-022_megahit_metabat_bin-310,bin-310:026/145_10,DFE_0461,Outer_Surface_MHC_in_PCC,mtrC
T7-022_megahit_metabat_bin-310,bin-310:026/145_9,DFE_0449,Outer_Surface_MHC_in_PCC,Not_found
T7-022_megahit_metabat_bin-310,bin-310:026/145_11,Not_found,PCC_porin,Not_found
T7-022_megahit_metabat_bin-591,Not_found,Not_found,Not_found,Not_found
T7-022_megahit_metabat_bin-293,Not_found,Not_found,Not_found,Not_found
T7-022_megahit_metabat_bin-407,Not_found,Not_found,Not_found,Not_found
T7-022_megahit_metabat_bin-031,bin-031:1708/1819_1,Cyc2_repCluster2,Not_found,Not_found
T7-022_megahit_metabat_bin-031,bin-031:0531/1819_3,Cyc2_repCluster2,Not_found,Not_found
T7-022_megahit_metabat_bin-079,bin-079:0242/6517_1,Not_found,Outer_Surface_MHC,Not_found
T7-022_megahit_metabat_bin-463,Not_found,Not_found,Not_found,Not_found
T7-022_megahit_metabat_bin-281,Not_found,Not_found,Not_found,Not_found
T7-022_megahit_metabat_bin-120,bin-120:0562/1271_4,MtoA,Not_found,Not_found
T7-022_megahit_metabat_bin-120,bin-120:0562/1271_5,MtrB_TIGR03509,Not_found,Not_found
T7-022_megahit_metabat_bin-120,bin-120:0154/1271_2,CbcL,Outer_Surface_MHC,mtrC
T7-022_megahit_metabat_bin-120,bin-120:0918/1271_2,Cyc2_repCluster2,Not_found,Not_found
T7-022_megahit_metabat_bin-120,bin-120:0111/1271_5,Cyc1,Not_found,Not_found
T7-022_megahit_metabat_bin-120,bin-120:0111/1271_6,Cyc2_repCluster2,Not_found,Not_found
T7-022_megahit_metabat_bin-120,bin-120:0154/1271_1,DFE_0449,Periplasmic_MHC_in_PCC,Not_found
T7-022_megahit_metabat_bin-228,Not_found,Not_found,Not_found,Not_found
T7-022_megahit_metabat_bin-483,Not_found,Not_found,Not_found,Not_found
T7-022_megahit_metabat_bin-548,bin-548:062/532_1,MtrA,Not_found,Not_found
T7-022_megahit_metabat_bin-548,bin-548:062/532_2,MtrB_TIGR03509,Not_found,Not_found
T7-022_megahit_metabat_bin-548,bin-548:389/532_1,DFE_0461,Outer_Surface_MHC_in_PCC,Not_found
T7-022_megahit_metabat_bin-548,bin-548:389/532_2,Not_found,PCC_porin,Not_found
T7-022_megahit_metabat_bin-169,Not_found,Not_found,Not_found,Not_found
T7-022_megahit_metabat_bin-396,Not_found,Not_found,Not_found,Not_found
T7-022_megahit_metabat_bin-248,Not_found,Not_found,Not_found,Not_found
T7-022_megahit_metabat_bin-369,bin-369:150/395_5,Cyc2_repCluster2,Not_found,Not_found
T7-022_megahit_metabat_bin-369,bin-369:221/395_10,Cyc2_repCluster2,Not_found,Not_found
T7-022_megahit_metabat_bin-369,bin-369:345/395_4,DFE_0461,Outer_Surface_MHC_in_PCC,Not_found
T7-022_megahit_metabat_bin-369,bin-369:345/395_5,DFE_0449,Outer_Surface_MHC_in_PCC,Not_found
T7-022_megahit_metabat_bin-369,bin-369:345/395_3,Not_found,PCC_porin,Not_found
T7-022_megahit_metabat_bin-565,Not_found,Not_found,Not_found,Not_found
T7-022_megahit_metabat_bin-570,Not_found,Not_found,Not_found,Not_found
