MAG,orf,FeGenie_HMM,Shaomei_Type
MJ110516B_megahit_metabat_bin-0257,bin-0257:50/60_145,ImcH,Not_found
MJ110516B_megahit_metabat_bin-0257,bin-0257:53/60_163,ExtB_porin,PCC_porin
MJ110516B_megahit_metabat_bin-0257,bin-0257:53/60_164,ExtC_pcc_lp_cyt,Outer_Surface_MHC_in_PCC
MJ110516B_megahit_metabat_bin-0257,bin-0257:12/60_19,CbcL,Not_found
MJ110516B_megahit_metabat_bin-0257,bin-0257:12/60_20,CbcL,Not_found
MJ110516B_megahit_metabat_bin-0257,bin-0257:53/60_165,637127415_NP_953769_{omc}_cytochrome_c_family_protein_[Geobacter_sulfurreducens_PCA:_NC_002939],Outer_Surface_MHC_in_PCC
MJ110516B_megahit_metabat_bin-0257,bin-0257:53/60_162,Not_found,Outer_Surface_MHC_in_PCC
MJ110516B_megahit_metabat_bin-0257,bin-0257:01/60_77,Not_found,Outer_Surface_MHC
MJ110516B_megahit_metabat_bin-0257,bin-0257:21/60_14,Not_found,Outer_Surface_MHC
MJ110516B_megahit_metabat_bin-0257,bin-0257:42/60_40,Not_found,Outer_Surface_MHC
MJ110516B_megahit_metabat_bin-0727,Not_found,Not_found,Not_found
MJ110516B_megahit_metabat_bin-0968,bin-0968:079/134_12,MtoA,Not_found
MJ110516B_megahit_metabat_bin-0968,bin-0968:079/134_13,MtrB_TIGR03509,Not_found
MJ110516B_megahit_metabat_bin-0968,bin-0968:079/134_14,CymA,Not_found
MJ110516B_megahit_metabat_bin-0231,bin-0231:196/259_1,Cyc2_repCluster2,Not_found
MJ110516B_megahit_metabat_bin-0246,Not_found,Not_found,Not_found
MJ110516B_megahit_metabat_bin-0671,bin-0671:0265/1176_6,MtoA,Not_found
MJ110516B_megahit_metabat_bin-0671,bin-0671:0265/1176_7,MtrB_TIGR03509,Not_found
MJ110516B_megahit_metabat_bin-0671,bin-0671:0274/1176_1,Cyc2_repCluster2,Not_found
MJ110516B_megahit_metabat_bin-0671,bin-0671:0089/1176_1,Cyc2_repCluster2,Not_found
MJ110516B_megahit_metabat_bin-0671,bin-0671:0206/1176_4,Cyc2_repCluster2,Not_found
MJ110516B_megahit_metabat_bin-0860,bin-0860:256/618_4,Cyc2_repCluster2,Not_found
MJ110516B_megahit_metabat_bin-0952,Not_found,Not_found,Not_found
MJ110516B_megahit_metabat_bin-0232,bin-0232:079/282_2,MtoA,Not_found
MJ110516B_megahit_metabat_bin-0232,bin-0232:079/282_3,MtrB_TIGR03509,Not_found
MJ110516B_megahit_metabat_bin-0232,bin-0232:224/282_11,EetA,Not_found
MJ110516B_megahit_metabat_bin-0232,bin-0232:224/282_12,EetB,Not_found
MJ110516B_megahit_metabat_bin-0494,bin-0494:0129/1429_1,Cyc2_repCluster2,Not_found
MJ110516B_megahit_metabat_bin-0494,bin-0494:1149/1429_2,MtrB_TIGR03509,Not_found
MJ110516B_megahit_metabat_bin-0494,bin-0494:1357/1429_6,MtoA,Not_found
MJ110516B_megahit_metabat_bin-0621,bin-0621:0999/1679_1,Cyc2_repCluster2,Not_found
MJ110516B_megahit_metabat_bin-0621,bin-0621:1411/1679_2,Cyc2_repCluster2,Not_found
MJ110516B_megahit_metabat_bin-0621,bin-0621:0773/1679_2,MtrB_TIGR03509,Not_found
MJ110516B_megahit_metabat_bin-0621,bin-0621:1427/1679_5,MtoA,Not_found
MJ110516B_megahit_metabat_bin-0621,bin-0621:0486/1679_4,Not_found,Outer_Surface_MHC
MJ110516B_megahit_metabat_bin-0528,bin-0528:113/409_1,MtoA,Not_found
MJ110516B_megahit_metabat_bin-0528,bin-0528:113/409_2,MtrB_TIGR03509,Not_found
MJ110516B_megahit_metabat_bin-0528,bin-0528:041/409_4,Cyc2_repCluster2,Not_found
MJ110516B_megahit_metabat_bin-0528,bin-0528:223/409_2,MtrB_TIGR03509,Not_found
MJ110516B_megahit_metabat_bin-0344,bin-0344:120/410_4,Cyc2_repCluster2,Not_found
MJ110516B_megahit_metabat_bin-0344,bin-0344:285/410_4,Not_found,Outer_Surface_MHC
MJ110516B_megahit_metabat_bin-0608,Not_found,Not_found,Not_found
MJ110516B_megahit_metabat_bin-0433,bin-0433:041/185_15,Cyc2_repCluster3,Not_found
MJ110516B_megahit_metabat_bin-0433,bin-0433:140/185_13,Cyc2_repCluster3,Not_found
MJ110516B_megahit_metabat_bin-0433,bin-0433:069/185_1,Cyc2_repCluster3,Not_found
MJ110516B_megahit_metabat_bin-0433,bin-0433:013/185_7,Cyc2_repCluster3,Not_found
MJ110516B_megahit_metabat_bin-0433,bin-0433:039/185_45,DFE_0462,Not_found
MJ110516B_megahit_metabat_bin-0433,bin-0433:150/185_7,DFE_0461,Not_found
MJ110516B_megahit_metabat_bin-0143,bin-0143:162/197_1,MtrB_TIGR03509,Not_found
MJ110516B_megahit_metabat_bin-0143,bin-0143:162/197_2,MtoA,Not_found
MJ110516B_megahit_metabat_bin-0228,bin-0228:116/176_5,Cyc2_repCluster3,Not_found
MJ110516B_megahit_metabat_bin-0228,bin-0228:083/176_10,Cyc2_repCluster3,Not_found
MJ110516B_megahit_metabat_bin-0228,bin-0228:168/176_2,Cyc2_repCluster3,Not_found
MJ110516B_megahit_metabat_bin-0228,bin-0228:021/176_1,DFE_0461,Not_found
MJ110516B_megahit_metabat_bin-0038,Not_found,Not_found,Not_found
MJ110516B_megahit_metabat_bin-0637,bin-0637:182/239_11,EetB,Not_found
MJ110516B_megahit_metabat_bin-0637,bin-0637:182/239_12,EetA,Not_found
MJ110516B_megahit_metabat_bin-0197,Not_found,Not_found,Not_found
MJ110516B_megahit_metabat_bin-0891,bin-0891:039/509_6,Cyc2_repCluster2,Not_found
MJ110516B_megahit_metabat_bin-0891,bin-0891:403/509_1,Cyc2_repCluster2,Not_found
MJ110516B_megahit_metabat_bin-1040,Not_found,Not_found,Not_found
MJ110516B_megahit_metabat_bin-0342,bin-0342:011/290_63,CbcB,Not_found
MJ110516B_megahit_metabat_bin-0342,bin-0342:011/290_68,CbcL,Not_found
