MAG,orf,FeGenie_HMM,Shaomei_Type
C-3_megahit_metabat_bin-443,Not found,Not found,Not found
C-3_megahit_metabat_bin-392,bin-392:194/427_5,Cyc2_repCluster2,Not found
C-3_megahit_metabat_bin-392,bin-392:425/427_7,MtoA,Not found
C-3_megahit_metabat_bin-392,bin-392:425/427_8,MtrB_TIGR03509,Not found
C-3_megahit_metabat_bin-098,Not found,Not found,Not found
C-3_megahit_metabat_bin-125,Not found,Not found,Not found
C-3_megahit_metabat_bin-288,Not found,Not found,Not found
C-3_megahit_metabat_bin-005,bin-005:647/751_4,Cyc2_repCluster2,Not found
C-3_megahit_metabat_bin-303,bin-303:310/455_1,Cyc2_repCluster2,Not found
C-3_megahit_metabat_bin-303,bin-303:349/455_4,EetA,Not found
C-3_megahit_metabat_bin-158,Not found,Not found,Not found
C-3_megahit_metabat_bin-474,Not found,Not found,Not found
C-3_megahit_metabat_bin-285,bin-285:75/84_133,Cyc1,Not found
C-3_megahit_metabat_bin-285,bin-285:75/84_134,Cyc2_repCluster2,Not found
C-3_megahit_metabat_bin-285,bin-285:20/84_55,Cyc2_repCluster2,Not found
C-3_megahit_metabat_bin-128,Not found,Not found,Not found
C-3_megahit_metabat_bin-313,bin-313:240/880_4,Cyc2_repCluster2,Not found
C-3_megahit_metabat_bin-284,Not found,Not found,Not found
C-3_megahit_metabat_bin-032,Not found,Not found,Not found
C-3_megahit_metabat_bin-569,Not found,Not found,Not found
