MAG,orf,FeGenie_HMM,Shaomei_Type
MJ120924A_megahit_metabat_bin-634,bin-634:728/972_5,CbcB,Not found
MJ120924A_megahit_metabat_bin-634,bin-634:521/972_2,CbcL,Not found
MJ120924A_megahit_metabat_bin-634,bin-634:969/972_3,CbcL,Not found
MJ120924A_megahit_metabat_bin-634,bin-634:027/972_1,DFE_0461,Outer Surface MHC in PCC
MJ120924A_megahit_metabat_bin-634,bin-634:160/972_4,MtrC_TIGR03507,Outer Surface MHC
MJ120924A_megahit_metabat_bin-634,bin-634:188/972_1,DFE_0449,Not found
MJ120924A_megahit_metabat_bin-634,bin-634:449/972_2,DFE_0462,Outer Surface MHC
MJ120924A_megahit_metabat_bin-634,bin-634:705/972_2,MtoA,Periplasmic MHC in PCC
MJ120924A_megahit_metabat_bin-634,bin-634:705/972_3,MtrB_TIGR03509,Not found
MJ120924A_megahit_metabat_bin-634,bin-634:705/972_4,MtrC_TIGR03507,Outer Surface MHC
MJ120924A_megahit_metabat_bin-634,bin-634:728/972_6,DFE_0461,Not found
MJ120924A_megahit_metabat_bin-634,bin-634:865/972_1,DFE_0461,Outer Surface MHC
MJ120924A_megahit_metabat_bin-634,bin-634:865/972_2,DFE_0448,Periplasmic MHC in PCC
MJ120924A_megahit_metabat_bin-634,bin-634:027/972_2,Not found,PCC porin
MJ120924A_megahit_metabat_bin-058,bin-058:060/175_18,CbcL,Not found
MJ120924A_megahit_metabat_bin-058,bin-058:028/175_12,DFE_0449,Periplasmic MHC in PCC
MJ120924A_megahit_metabat_bin-058,bin-058:028/175_13,DFE_0449,Outer Surface MHC
MJ120924A_megahit_metabat_bin-058,bin-058:105/175_10,Not found,Periplasmic MHC in PCC
MJ120924A_megahit_metabat_bin-058,bin-058:006/175_5,Not found,Outer Surface MHC
MJ120924A_megahit_metabat_bin-058,bin-058:105/175_14,Not found,Outer Surface MHC
MJ120924A_megahit_metabat_bin-004,Not found,Not found,Not found
MJ120924A_megahit_metabat_bin-141,bin-141:244/457_7,Cyc2_repCluster2,Not found
MJ120924A_megahit_metabat_bin-141,bin-141:107/457_1,MtrB_TIGR03509,Not found
MJ120924A_megahit_metabat_bin-141,bin-141:107/457_2,MtoA,Not found
MJ120924A_megahit_metabat_bin-141,bin-141:107/457_3,MtrB_TIGR03509,Not found
MJ120924A_megahit_metabat_bin-141,bin-141:107/457_4,MtoA,Not found
MJ120924A_megahit_metabat_bin-141,bin-141:107/457_5,MtrB_TIGR03509,Not found
MJ120924A_megahit_metabat_bin-141,bin-141:107/457_6,MtoA,Not found
MJ120924A_megahit_metabat_bin-141,bin-141:107/457_10,CbcL,Not found
MJ120924A_megahit_metabat_bin-141,bin-141:107/457_11,Cyc1,Not found
MJ120924A_megahit_metabat_bin-141,bin-141:432/457_7,MtrB_TIGR03509,Not found
MJ120924A_megahit_metabat_bin-141,bin-141:432/457_8,MtoA,Not found
MJ120924A_megahit_metabat_bin-141,bin-141:012/457_10,CbcB,Not found
MJ120924A_megahit_metabat_bin-141,bin-141:203/457_2,DFE_0449,Periplasmic MHC in PCC
MJ120924A_megahit_metabat_bin-141,bin-141:218/457_1,DFE_0462,Outer Surface MHC in PCC
MJ120924A_megahit_metabat_bin-141,bin-141:218/457_2,Not found,PCC porin
MJ120924A_megahit_metabat_bin-141,bin-141:203/457_1,Not found,Outer Surface MHC
MJ120924A_megahit_metabat_bin-685,bin-685:18/52_49,ExtC_pcc_lp_cyt,Outer Surface MHC in PCC
MJ120924A_megahit_metabat_bin-685,bin-685:18/52_50,ExtB_porin,PCC porin
MJ120924A_megahit_metabat_bin-685,bin-685:03/52_145,ImcH,Not found
MJ120924A_megahit_metabat_bin-685,bin-685:22/52_100,CbcL,Not found
MJ120924A_megahit_metabat_bin-685,bin-685:22/52_101,CbcL,Not found
MJ120924A_megahit_metabat_bin-685,bin-685:18/52_48,637127415 NP_953769 {omc} cytochrome c family protein [Geobacter sulfurreducens PCA: NC_002939],Outer Surface MHC in PCC
MJ120924A_megahit_metabat_bin-685,bin-685:18/52_51,Not found,Outer Surface MHC in PCC
MJ120924A_megahit_metabat_bin-685,bin-685:08/52_77,Not found,Outer Surface MHC
MJ120924A_megahit_metabat_bin-685,bin-685:14/52_14,Not found,Outer Surface MHC
MJ120924A_megahit_metabat_bin-685,bin-685:50/52_40,Not found,Outer Surface MHC
MJ120924A_megahit_metabat_bin-157,bin-157:120/573_8,ImcH,Not found
MJ120924A_megahit_metabat_bin-157,bin-157:238/573_15,DFE_0449,Outer Surface MHC
MJ120924A_megahit_metabat_bin-157,bin-157:238/573_16,DFE_0449,Periplasmic MHC in PCC
MJ120924A_megahit_metabat_bin-157,bin-157:531/573_2,DFE_0448,Not found
MJ120924A_megahit_metabat_bin-157,bin-157:289/573_2,Not found,Outer Surface MHC
MJ120924A_megahit_metabat_bin-758,Not found,Not found,Not found
MJ120924A_megahit_metabat_bin-563,Not found,Not found,Not found
MJ120924A_megahit_metabat_bin-039,Not found,Not found,Not found
MJ120924A_megahit_metabat_bin-346,bin-346:16/17_77,OmcF,Not found
MJ120924A_megahit_metabat_bin-346,bin-346:16/17_233,OmcS,Outer Surface MHC
MJ120924A_megahit_metabat_bin-346,bin-346:16/17_388,DFE_0462,Outer Surface MHC
MJ120924A_megahit_metabat_bin-346,bin-346:16/17_392,DFE_0463,Not found
MJ120924A_megahit_metabat_bin-346,bin-346:16/17_393,DFE_0462,Periplasmic MHC in PCC
MJ120924A_megahit_metabat_bin-346,bin-346:16/17_394,DFE_0461,Periplasmic MHC in PCC
MJ120924A_megahit_metabat_bin-346,bin-346:16/17_400,OmcS,Outer Surface MHC
MJ120924A_megahit_metabat_bin-346,bin-346:07/17_202,OmcS,Outer Surface MHC
MJ120924A_megahit_metabat_bin-346,bin-346:06/17_2,CbcB,Not found
MJ120924A_megahit_metabat_bin-346,bin-346:03/17_219,MtoA,Not found
MJ120924A_megahit_metabat_bin-346,bin-346:16/17_249,MtrA,Not found
MJ120924A_megahit_metabat_bin-355,bin-355:459/571_10,CbcL,Not found
MJ120924A_megahit_metabat_bin-355,bin-355:146/571_6,CbcB,Not found
MJ120924A_megahit_metabat_bin-355,bin-355:074/571_13,MtoA,Outer Surface MHC
MJ120924A_megahit_metabat_bin-355,bin-355:146/571_7,DFE_0461,Not found
MJ120924A_megahit_metabat_bin-355,bin-355:361/571_10,MtoA,Periplasmic MHC in PCC
MJ120924A_megahit_metabat_bin-355,bin-355:361/571_11,MtrB_TIGR03509,Not found
MJ120924A_megahit_metabat_bin-355,bin-355:361/571_9,MtrC_TIGR03507,Outer Surface MHC
MJ120924A_megahit_metabat_bin-355,bin-355:368/571_1,DFE_0461,Outer Surface MHC in PCC
MJ120924A_megahit_metabat_bin-355,bin-355:553/571_1,DFE_0462,Outer Surface MHC in PCC
MJ120924A_megahit_metabat_bin-355,bin-355:553/571_8,DFE_0449,Outer Surface MHC in PCC
MJ120924A_megahit_metabat_bin-355,bin-355:556/571_7,MtrC_TIGR03507,Outer Surface MHC
MJ120924A_megahit_metabat_bin-355,bin-355:556/571_8,MtrC_TIGR03507,Outer Surface MHC
MJ120924A_megahit_metabat_bin-355,bin-355:570/571_35,MtrC_TIGR03507,Outer Surface MHC
MJ120924A_megahit_metabat_bin-355,bin-355:368/571_2,Not found,PCC porin
MJ120924A_megahit_metabat_bin-355,bin-355:553/571_2,Not found,PCC porin
MJ120924A_megahit_metabat_bin-717,bin-717:145/447_3,MtoA,Not found
MJ120924A_megahit_metabat_bin-717,bin-717:145/447_4,MtrB_TIGR03509,Not found
MJ120924A_megahit_metabat_bin-323,Not found,Not found,Not found
MJ120924A_megahit_metabat_bin-653,bin-653:075/371_3,Cyc2_repCluster2,Not found
MJ120924A_megahit_metabat_bin-653,bin-653:087/371_4,Not found,Outer Surface MHC
MJ120924A_megahit_metabat_bin-760,bin-760:395/582_2,ExtB_porin,PCC porin
MJ120924A_megahit_metabat_bin-760,bin-760:395/582_3,ExtC_pcc_lp_cyt,Outer Surface MHC in PCC
MJ120924A_megahit_metabat_bin-760,bin-760:309/582_2,CbcB,Not found
MJ120924A_megahit_metabat_bin-760,bin-760:309/582_3,CbcA,Not found
MJ120924A_megahit_metabat_bin-760,bin-760:068/582_3,ImcH,Not found
MJ120924A_megahit_metabat_bin-760,bin-760:491/582_1,CbcL,Not found
MJ120924A_megahit_metabat_bin-760,bin-760:395/582_4,640549328 YP_001230600 {omc} cytochrome C family protein [Geobacter uraniumreducens Rf4: NC_009483],Not found
MJ120924A_megahit_metabat_bin-760,bin-760:309/582_1,DFE_0448,Not found
MJ120924A_megahit_metabat_bin-760,bin-760:300/582_2,Not found,Periplasmic MHC in PCC
MJ120924A_megahit_metabat_bin-760,bin-760:300/582_1,Not found,Outer Surface MHC
MJ120924A_megahit_metabat_bin-760,bin-760:331/582_1,Not found,Outer Surface MHC
MJ120924A_megahit_metabat_bin-337,Not found,Not found,Not found
MJ120924A_megahit_metabat_bin-490,bin-490:158/339_1,ImcH,Not found
MJ120924A_megahit_metabat_bin-490,bin-490:158/339_5,CbcL,Not found
MJ120924A_megahit_metabat_bin-490,bin-490:117/339_3,DFE_0461,Not found
MJ120924A_megahit_metabat_bin-490,bin-490:251/339_1,DFE_0448,Not found
MJ120924A_megahit_metabat_bin-490,bin-490:327/339_1,EetA,Not found
MJ120924A_megahit_metabat_bin-490,bin-490:327/339_2,EetB,Not found
MJ120924A_megahit_metabat_bin-588,bin-588:010/192_5,MtoA,Not found
MJ120924A_megahit_metabat_bin-588,bin-588:120/192_53,EetB,Not found
MJ120924A_megahit_metabat_bin-588,bin-588:120/192_54,EetA,Not found
MJ120924A_megahit_metabat_bin-212,Not found,Not found,Not found
MJ120924A_megahit_metabat_bin-099,bin-099:042/103_2,Cyc2_repCluster3,Not found
MJ120924A_megahit_metabat_bin-099,bin-099:066/103_2,Cyc2_repCluster3,Not found
MJ120924A_megahit_metabat_bin-099,bin-099:061/103_17,Cyc2_repCluster3,Not found
MJ120924A_megahit_metabat_bin-099,bin-099:007/103_9,Cyc2_repCluster3,Not found
MJ120924A_megahit_metabat_bin-099,bin-099:013/103_8,Cyc2_repCluster3,Not found
MJ120924A_megahit_metabat_bin-099,bin-099:062/103_41,Cyc2_repCluster1,Not found
MJ120924A_megahit_metabat_bin-099,bin-099:025/103_5,DFE_0461,Not found
MJ120924A_megahit_metabat_bin-701,bin-701:067/530_2,Cyc2_repCluster3,Not found
MJ120924A_megahit_metabat_bin-762,Not found,Not found,Not found
MJ120924A_megahit_metabat_bin-559,bin-559:135/151_50,Cyc1,Not found
MJ120924A_megahit_metabat_bin-559,bin-559:135/151_51,MtrB_TIGR03509,Not found
MJ120924A_megahit_metabat_bin-559,bin-559:135/151_52,MtrA,Periplasmic MHC in PCC
MJ120924A_megahit_metabat_bin-559,bin-559:135/151_54,MtrC_TIGR03507,Outer Surface MHC
MJ120924A_megahit_metabat_bin-559,bin-559:135/151_56,MtrC_TIGR03507,Outer Surface MHC
MJ120924A_megahit_metabat_bin-559,bin-559:084/151_82,Cyc2_repCluster2,Not found
MJ120924A_megahit_metabat_bin-559,bin-559:012/151_18,MtrB_TIGR03509,Not found
MJ120924A_megahit_metabat_bin-559,bin-559:012/151_19,MtoA,Not found
MJ120924A_megahit_metabat_bin-559,bin-559:077/151_135,EetA,Not found
MJ120924A_megahit_metabat_bin-559,bin-559:077/151_136,EetB,Not found
MJ120924A_megahit_metabat_bin-523,Not found,Not found,Not found
MJ120924A_megahit_metabat_bin-129,bin-129:246/622_1,Cyc2_repCluster2,Not found
MJ120924A_megahit_metabat_bin-129,bin-129:246/622_2,Cyc1,Not found
