MAG,orf,FeGenie_HMM,Shaomei_Type
Ki1-0-7m_megahit_metabat_bin-1094,Not found,Not found,Not found
Ki1-0-7m_megahit_metabat_bin-0142,bin-0142:092/164_3,Cyc2_repCluster2,Not found
Ki1-0-7m_megahit_metabat_bin-0142,bin-0142:092/164_4,Cyc1,Not found
Ki1-0-7m_megahit_metabat_bin-0142,bin-0142:085/164_3,Cyc2_repCluster2,Not found
Ki1-0-7m_megahit_metabat_bin-0142,bin-0142:034/164_2,Cyc2_repCluster2,Not found
Ki1-0-7m_megahit_metabat_bin-0142,bin-0142:115/164_5,Cyc2_repCluster2,Not found
Ki1-0-7m_megahit_metabat_bin-0142,bin-0142:067/164_1,DFE_0448,Not found
Ki1-0-7m_megahit_metabat_bin-1208,bin-1208:567/601_3,MtoA,Not found
Ki1-0-7m_megahit_metabat_bin-0635,Not found,Not found,Not found
Ki1-0-7m_megahit_metabat_bin-0878,Not found,Not found,Not found
Ki1-0-7m_megahit_metabat_bin-0073,bin-0073:134/191_66,FoxZ,Not found
Ki1-0-7m_megahit_metabat_bin-0910,Not found,Not found,Not found
Ki1-0-7m_megahit_metabat_bin-0238,bin-0238:040/460_5,Cyc2_repCluster2,Not found
Ki1-0-7m_megahit_metabat_bin-0701,bin-0701:65/66_29,Cyc2_repCluster2,Not found
Ki1-0-7m_megahit_metabat_bin-0701,bin-0701:44/66_40,DFE_0461,Not found
Ki1-0-7m_megahit_metabat_bin-0840,Not found,Not found,Not found
Ki1-0-7m_megahit_metabat_bin-1230,bin-1230:201/790_1,MtoA,Not found
Ki1-0-7m_megahit_metabat_bin-1230,bin-1230:201/790_2,MtrB_TIGR03509,Not found
Ki1-0-7m_megahit_metabat_bin-1230,bin-1230:201/790_3,CymA,Not found
Ki1-0-7m_megahit_metabat_bin-1230,bin-1230:497/790_4,MtoA,Not found
Ki1-0-7m_megahit_metabat_bin-1230,bin-1230:635/790_1,MtrB_TIGR03509,Not found
Ki1-0-7m_megahit_metabat_bin-0436,Not found,Not found,Not found
Ki1-0-7m_megahit_metabat_bin-0455,bin-0455:387/425_1,Cyc2_repCluster2,Not found
Ki1-0-7m_megahit_metabat_bin-0455,bin-0455:003/425_17,Cyc2_repCluster2,Not found
Ki1-0-7m_megahit_metabat_bin-1022,Not found,Not found,Not found
Ki1-0-7m_megahit_metabat_bin-1314,bin-1314:064/266_25,Cyc2_repCluster2,Not found
Ki1-0-7m_megahit_metabat_bin-1314,bin-1314:235/266_15,DFE_0461,Outer Surface MHC in PCC
Ki1-0-7m_megahit_metabat_bin-1314,bin-1314:235/266_16,DFE_0449,Outer Surface MHC in PCC
Ki1-0-7m_megahit_metabat_bin-1314,bin-1314:235/266_14,Not found,PCC porin
Ki1-0-7m_megahit_metabat_bin-0386,Not found,Not found,Not found
Ki1-0-7m_megahit_metabat_bin-0839,bin-0839:045/130_3,CymA,Not found
Ki1-0-7m_megahit_metabat_bin-0839,bin-0839:045/130_4,MtrB_TIGR03509,Not found
Ki1-0-7m_megahit_metabat_bin-0839,bin-0839:045/130_5,MtoA,Not found
Ki1-0-7m_megahit_metabat_bin-0209,bin-0209:201/522_7,Cyc2_repCluster2,Not found
Ki1-0-7m_megahit_metabat_bin-0209,bin-0209:201/522_8,Cyc1,Not found
Ki1-0-7m_megahit_metabat_bin-1327,Not found,Not found,Not found
Ki1-0-7m_megahit_metabat_bin-0731,Not found,Not found,Not found
Ki1-0-7m_megahit_metabat_bin-1201,Not found,Not found,Not found
Ki1-0-7m_megahit_metabat_bin-0537,Not found,Not found,Not found
Ki1-0-7m_megahit_metabat_bin-1229,Not found,Not found,Not found
Ki1-0-7m_megahit_metabat_bin-0458,Not found,Not found,Not found
Ki1-0-7m_megahit_metabat_bin-0129,Not found,Not found,Not found
Ki1-0-7m_megahit_metabat_bin-0613,Not found,Not found,Not found
Ki1-0-7m_megahit_metabat_bin-1133,Not found,Not found,Not found
Ki1-0-7m_megahit_metabat_bin-0816,Not found,Not found,Not found
Ki1-0-7m_megahit_metabat_bin-0093,Not found,Not found,Not found
Ki1-0-7m_megahit_metabat_bin-0639,bin-0639:593/741_1,Cyc2_repCluster2,Not found
Ki1-0-7m_megahit_metabat_bin-0639,bin-0639:312/741_3,Cyc2_repCluster2,Not found
Ki1-0-7m_megahit_metabat_bin-0303,Not found,Not found,Not found
Ki1-0-7m_megahit_metabat_bin-0950,Not found,Not found,Not found
Ki1-0-7m_megahit_metabat_bin-0755,bin-0755:063/121_6,EetB,Not found
Ki1-0-7m_megahit_metabat_bin-0755,bin-0755:063/121_7,EetA,Not found
