MAG,orf,FeGenie_HMM,Shaomei_Type
E-4_megahit_metabat_bin-120,bin-120:170/258_1,Cyc2_repCluster1,Not found
E-4_megahit_metabat_bin-120,bin-120:085/258_6,DFE_0461,Not found
E-4_megahit_metabat_bin-122,Not found,Not found,Not found
E-4_megahit_metabat_bin-108,bin-108:053/106_12,Cyc2_repCluster3,Not found
E-4_megahit_metabat_bin-108,bin-108:022/106_27,Cyc2_repCluster1,Not found
E-4_megahit_metabat_bin-108,bin-108:065/106_22,DFE_0462,Not found
E-4_megahit_metabat_bin-010,bin-010:370/586_3,Cyc2_repCluster3,Not found
E-4_megahit_metabat_bin-010,bin-010:298/586_3,DFE_0461,Not found
E-4_megahit_metabat_bin-003,bin-003:039/533_1,Cyc2_repCluster3,Not found
E-4_megahit_metabat_bin-151,bin-151:028/516_1,Cyc2_repCluster3,Not found
E-4_megahit_metabat_bin-151,bin-151:120/516_3,Cyc2_repCluster3,Not found
E-4_megahit_metabat_bin-151,bin-151:148/516_5,DFE_0461,Not found
E-4_megahit_metabat_bin-119,bin-119:0398/1185_4,ExtB_porin,PCC porin
E-4_megahit_metabat_bin-119,bin-119:0248/1185_2,CbcA,Not found
E-4_megahit_metabat_bin-119,bin-119:0470/1185_1,CbcL,Not found
E-4_megahit_metabat_bin-119,bin-119:0406/1185_3,Cyc2_repCluster3,Not found
E-4_megahit_metabat_bin-119,bin-119:0412/1185_2,Cyc2_repCluster3,Not found
E-4_megahit_metabat_bin-119,bin-119:0398/1185_2,637127415 NP_953769 {omc} cytochrome c family protein [Geobacter sulfurreducens PCA: NC_002939],Outer Surface MHC in PCC
E-4_megahit_metabat_bin-119,bin-119:0336/1185_4,Not found,Outer Surface MHC
E-4_megahit_metabat_bin-119,bin-119:1031/1185_1,Not found,Outer Surface MHC
E-4_megahit_metabat_bin-019,Not found,Not found,Not found
E-4_megahit_metabat_bin-114,bin-114:080/128_49,Cyc2_repCluster3,Not found
E-4_megahit_metabat_bin-114,bin-114:008/128_25,DFE_0461,Not found
E-4_megahit_metabat_bin-078,Not found,Not found,Not found
E-4_megahit_metabat_bin-046,bin-046:083/258_6,Cyc2_repCluster3,Not found
E-4_megahit_metabat_bin-046,bin-046:160/258_3,Cyc2_repCluster1,Not found
E-4_megahit_metabat_bin-046,bin-046:158/258_8,DFE_0461,Not found
E-4_megahit_metabat_bin-031,bin-031:1158/2008_4,ExtB_porin,PCC porin
E-4_megahit_metabat_bin-031,bin-031:1158/2008_5,ExtC_pcc_lp_cyt,Outer Surface MHC in PCC
E-4_megahit_metabat_bin-031,bin-031:0794/2008_1,ExtB_porin,PCC porin
E-4_megahit_metabat_bin-031,bin-031:0794/2008_2,ExtC_pcc_lp_cyt,Outer Surface MHC in PCC
E-4_megahit_metabat_bin-031,bin-031:0197/2008_3,CbcB,Not found
E-4_megahit_metabat_bin-031,bin-031:0197/2008_4,CbcA,Not found
E-4_megahit_metabat_bin-031,bin-031:1772/2008_1,CbcA,Not found
E-4_megahit_metabat_bin-031,bin-031:1772/2008_2,CbcB,Not found
E-4_megahit_metabat_bin-031,bin-031:1186/2008_4,CbcL,Not found
E-4_megahit_metabat_bin-031,bin-031:1668/2008_3,ImcH,Not found
E-4_megahit_metabat_bin-031,bin-031:1673/2008_4,CbcL,Not found
E-4_megahit_metabat_bin-031,bin-031:0794/2008_3,637127415 NP_953769 {omc} cytochrome c family protein [Geobacter sulfurreducens PCA: NC_002939],Outer Surface MHC in PCC
E-4_megahit_metabat_bin-031,bin-031:1158/2008_6,640549328 YP_001230600 {omc} cytochrome C family protein [Geobacter uraniumreducens Rf4: NC_009483],Not found
E-4_megahit_metabat_bin-031,bin-031:0181/2008_2,DFE_0449,Not found
E-4_megahit_metabat_bin-031,bin-031:0181/2008_3,DFE_0461,Not found
E-4_megahit_metabat_bin-031,bin-031:0197/2008_2,DFE_0448,Not found
E-4_megahit_metabat_bin-031,bin-031:0252/2008_2,DFE_0448,Not found
E-4_megahit_metabat_bin-031,bin-031:0255/2008_1,DFE_0461,Outer Surface MHC
E-4_megahit_metabat_bin-031,bin-031:0758/2008_3,DFE_0448,Not found
E-4_megahit_metabat_bin-031,bin-031:0867/2008_5,DFE_0461,Not found
E-4_megahit_metabat_bin-031,bin-031:1134/2008_1,DFE_0449,Outer Surface MHC
E-4_megahit_metabat_bin-031,bin-031:1427/2008_3,DFE_0461,Outer Surface MHC
E-4_megahit_metabat_bin-031,bin-031:1539/2008_1,DFE_0449,Not found
E-4_megahit_metabat_bin-031,bin-031:1772/2008_3,DFE_0449,Not found
E-4_megahit_metabat_bin-031,bin-031:1938/2008_1,DFE_0462,Outer Surface MHC
E-4_megahit_metabat_bin-031,bin-031:0144/2008_1,Not found,Outer Surface MHC
E-4_megahit_metabat_bin-031,bin-031:0144/2008_2,Not found,Outer Surface MHC
E-4_megahit_metabat_bin-031,bin-031:0255/2008_2,Not found,Outer Surface MHC
E-4_megahit_metabat_bin-031,bin-031:0330/2008_7,Not found,Outer Surface MHC
E-4_megahit_metabat_bin-031,bin-031:0554/2008_1,Not found,Outer Surface MHC
E-4_megahit_metabat_bin-031,bin-031:0642/2008_1,Not found,Outer Surface MHC
E-4_megahit_metabat_bin-031,bin-031:0732/2008_1,Not found,Outer Surface MHC
E-4_megahit_metabat_bin-031,bin-031:0776/2008_2,Not found,Outer Surface MHC
E-4_megahit_metabat_bin-031,bin-031:1449/2008_1,Not found,Outer Surface MHC
E-4_megahit_metabat_bin-031,bin-031:1702/2008_3,Not found,Outer Surface MHC
E-4_megahit_metabat_bin-031,bin-031:1879/2008_1,Not found,Outer Surface MHC
E-4_megahit_metabat_bin-022,bin-022:55/79_97,Cyc2_repCluster3,Not found
E-4_megahit_metabat_bin-022,bin-022:36/79_40,Cyc2_repCluster3,Not found
E-4_megahit_metabat_bin-022,bin-022:78/79_29,Cyc2_repCluster3,Not found
E-4_megahit_metabat_bin-022,bin-022:69/79_3,Cyc2_repCluster3,Not found
E-4_megahit_metabat_bin-022,bin-022:19/79_135,Cyc2_repCluster1,Not found
E-4_megahit_metabat_bin-022,bin-022:36/79_31,DFE_0461,Not found
E-4_megahit_metabat_bin-022,bin-022:70/79_10,Cyc2_repCluster3,Not found
E-4_megahit_metabat_bin-020,bin-020:514/595_11,ExtB_porin,Not found
E-4_megahit_metabat_bin-020,bin-020:485/595_7,CbcB,Not found
E-4_megahit_metabat_bin-020,bin-020:485/595_8,CbcA,Not found
E-4_megahit_metabat_bin-020,bin-020:485/595_15,ImcH,Not found
E-4_megahit_metabat_bin-020,bin-020:485/595_18,CbcL,Not found
E-4_megahit_metabat_bin-020,bin-020:461/595_7,Cyc2_repCluster3,Not found
E-4_megahit_metabat_bin-020,bin-020:180/595_1,DFE_0448,Not found
E-4_megahit_metabat_bin-020,bin-020:180/595_13,DFE_0461,Not found
E-4_megahit_metabat_bin-020,bin-020:485/595_6,DFE_0448,Not found
E-4_megahit_metabat_bin-020,bin-020:176/595_2,Not found,Outer Surface MHC
E-4_megahit_metabat_bin-020,bin-020:251/595_7,Not found,Outer Surface MHC
E-4_megahit_metabat_bin-020,bin-020:338/595_6,Not found,Outer Surface MHC
E-4_megahit_metabat_bin-020,bin-020:593/595_2,Not found,Outer Surface MHC
E-4_megahit_metabat_bin-069,bin-069:322/756_1,MtrB_TIGR03509,Not found
E-4_megahit_metabat_bin-069,bin-069:322/756_2,MtoA,Not found
E-4_megahit_metabat_bin-069,bin-069:370/756_2,CbcB,Not found
E-4_megahit_metabat_bin-069,bin-069:233/756_7,Cyc2_repCluster2,Not found
E-4_megahit_metabat_bin-069,bin-069:118/756_2,DFE_0461,Outer Surface MHC in PCC
E-4_megahit_metabat_bin-069,bin-069:256/756_2,DFE_0462,Not found
E-4_megahit_metabat_bin-069,bin-069:370/756_1,DFE_0461,Not found
E-4_megahit_metabat_bin-069,bin-069:451/756_2,MtrC_TIGR03507,Outer Surface MHC
E-4_megahit_metabat_bin-069,bin-069:628/756_2,MtrC_TIGR03507,Outer Surface MHC
E-4_megahit_metabat_bin-069,bin-069:652/756_1,DFE_0449,Not found
E-4_megahit_metabat_bin-069,bin-069:677/756_1,DFE_0461,Outer Surface MHC
E-4_megahit_metabat_bin-069,bin-069:677/756_2,DFE_0449,Periplasmic MHC in PCC
E-4_megahit_metabat_bin-069,bin-069:118/756_1,Not found,PCC porin
E-4_megahit_metabat_bin-069,bin-069:628/756_8,Not found,Periplasmic MHC in PCC
