MAG,orf,FeGenie_HMM,Shaomei_Type
LinL4_megahit_metabat_bin-0741,bin-0741:533/577_4,Cyc2_repCluster2,Not found
LinL4_megahit_metabat_bin-0741,bin-0741:283/577_1,Cyc2_repCluster2,Not found
LinL4_megahit_metabat_bin-0741,bin-0741:113/577_2,DFE_0461,Not found
LinL4_megahit_metabat_bin-0278,bin-0278:052/166_3,EetA,Not found
LinL4_megahit_metabat_bin-0278,bin-0278:052/166_4,EetB,Not found
LinL4_megahit_metabat_bin-0667,Not found,Not found,Not found
LinL4_megahit_metabat_bin-1207,Not found,Not found,Not found
LinL4_megahit_metabat_bin-0251,Not found,Not found,Not found
LinL4_megahit_metabat_bin-0250,bin-0250:036/109_46,Cyc1,Not found
LinL4_megahit_metabat_bin-0250,bin-0250:036/109_47,Cyc2_repCluster2,Not found
LinL4_megahit_metabat_bin-0250,bin-0250:109/109_21,MtrB_TIGR03509,Not found
LinL4_megahit_metabat_bin-0250,bin-0250:109/109_22,MtrA,Periplasmic MHC in PCC
LinL4_megahit_metabat_bin-0250,bin-0250:109/109_23,MtrC_TIGR03507,Outer Surface MHC
LinL4_megahit_metabat_bin-0250,bin-0250:109/109_24,MtrC_TIGR03507,Outer Surface MHC
LinL4_megahit_metabat_bin-0250,bin-0250:103/109_10,CbcL,Outer Surface MHC
LinL4_megahit_metabat_bin-0250,bin-0250:103/109_12,DFE_0448,Periplasmic MHC in PCC
LinL4_megahit_metabat_bin-0875,Not found,Not found,Not found
LinL4_megahit_metabat_bin-1014,bin-1014:1172/1735_3,Cyc2_repCluster2,Not found
LinL4_megahit_metabat_bin-1014,bin-1014:1172/1735_6,Cyc2_repCluster2,Not found
LinL4_megahit_metabat_bin-1014,bin-1014:0033/1735_2,Cyc2_repCluster2,Not found
LinL4_megahit_metabat_bin-0079,Not found,Not found,Not found
LinL4_megahit_metabat_bin-0209,Not found,Not found,Not found
LinL4_megahit_metabat_bin-0730,Not found,Not found,Not found
LinL4_megahit_metabat_bin-0616,bin-0616:395/798_2,MtoA,Not found
LinL4_megahit_metabat_bin-0616,bin-0616:395/798_3,MtrB_TIGR03509,Not found
LinL4_megahit_metabat_bin-0616,bin-0616:395/798_4,CymA,Not found
LinL4_megahit_metabat_bin-0337,Not found,Not found,Not found
LinL4_megahit_metabat_bin-0820,Not found,Not found,Not found
LinL4_megahit_metabat_bin-0529,Not found,Not found,Not found
LinL4_megahit_metabat_bin-0066,bin-0066:235/245_3,EetA,Not found
LinL4_megahit_metabat_bin-0066,bin-0066:235/245_4,EetB,Not found
LinL4_megahit_metabat_bin-0200,Not found,Not found,Not found
LinL4_megahit_metabat_bin-1161,bin-1161:366/994_15,Cyc2_repCluster2,Not found
LinL4_megahit_metabat_bin-1161,bin-1161:510/994_2,Not found,Outer Surface MHC
LinL4_megahit_metabat_bin-0260,Not found,Not found,Not found
LinL4_megahit_metabat_bin-0693,bin-0693:012/113_163,Cyc2_repCluster2,Not found
LinL4_megahit_metabat_bin-0693,bin-0693:012/113_164,Cyc1,Not found
LinL4_megahit_metabat_bin-0693,bin-0693:095/113_59,MtoA,Not found
LinL4_megahit_metabat_bin-0693,bin-0693:095/113_60,MtrB_TIGR03509,Not found
LinL4_megahit_metabat_bin-0693,bin-0693:095/113_61,CymA,Not found
LinL4_megahit_metabat_bin-1053,Not found,Not found,Not found
