MAG,orf,FeGenie_HMM,Shaomei_Type
3300020730-bin_17,Ga0214216_1001900_2,CymA,Not found
3300020730-bin_17,Ga0214216_1001900_3,MtrB_TIGR03509,Not found
3300020730-bin_17,Ga0214216_1001900_4,MtoA,Not found
3300020730-bin_17,Ga0214216_1001166_2,EetB,Not found
3300020730-bin_17,Ga0214216_1001166_3,EetA,Not found
3300021135-bin_21,Ga0214247_1000127_35,Cyc2_repCluster2,Not found
3300021135-bin_21,Ga0214247_1000030_57,Not found,Outer Surface MHC
3300021135-bin_21,Ga0214247_1000249_8,Not found,Outer Surface MHC
3300020734-bin_17,Ga0214235_1000094_37,EetB,Not found
3300020734-bin_17,Ga0214235_1000094_38,EetA,Not found
3300020734-bin_7,Ga0214235_1002844_1,MtoA,Not found
3300020734-bin_7,Ga0214235_1002844_2,MtrB_TIGR03509,Not found
3300020723-bin_12,Not found,Not found,Not found
3300020734-bin_14,Not found,Not found,Not found
3300020723-bin_4,Ga0214249_1000161_5,CbcB,Not found
3300020723-bin_4,Ga0214249_1000015_61,DFE_0462,Not found
3300020723-bin_4,Ga0214249_1000161_6,DFE_0462,Not found
3300020723-bin_4,Ga0214249_1000486_2,MtrC_TIGR03507,Outer Surface MHC
3300020723-bin_4,Ga0214249_1000486_3,MtrB_TIGR03509,Not found
3300020723-bin_4,Ga0214249_1000486_4,MtoA,Periplasmic MHC in PCC
3300020723-bin_4,Ga0214249_1000486_5,MtrC_TIGR03507,Outer Surface MHC
3300020723-bin_4,Ga0214249_1000617_14,Cyc2_repCluster2,Not found
3300020698-bin_7,Ga0214241_1000036_29,Cyc1,Not found
3300020698-bin_7,Ga0214241_1000036_30,Cyc2_repCluster2,Not found
3300020734-bin_3,Ga0214235_1002052_1,Cyc2_repCluster2,Not found
3300020734-bin_3,Ga0214235_1002057_3,Cyc2_repCluster2,Not found
3300020734-bin_3,Ga0214235_1004578_5,Cyc2_repCluster2,Not found
3300021135-bin_31,Ga0214247_1000004_250,Cyc2_repCluster1,Not found
3300021135-bin_31,Ga0214247_1000944_6,CymA,Not found
3300021135-bin_31,Ga0214247_1000944_7,MtrB_TIGR03509,Not found
3300021135-bin_31,Ga0214247_1000944_8,MtoA,Not found
3300021135-bin_31,Ga0214247_1000045_38,EetA,Not found
3300021135-bin_31,Ga0214247_1000045_39,EetB,Not found
3300020734-bin_13,Ga0214235_1000185_3,Cyc2_repCluster3,Not found
3300020734-bin_13,Ga0214235_1000003_83,Cyc2_repCluster3,Not found
3300020734-bin_13,Ga0214235_1000001_166,Cyc2_repCluster1,Not found
3300020713-bin_6,Ga0214222_1000259_8,Cyc2_repCluster2,Not found
3300020713-bin_6,Ga0214222_1000259_9,Cyc1,Not found
3300020713-bin_6,Ga0214222_1000090_5,EetB,Not found
3300020713-bin_6,Ga0214222_1000090_6,EetA,Not found
3300020713-bin_6,Ga0214222_1000259_6,DFE_0461,Not found
3300020711-bin_1,Not found,Not found,Not found
3300020682-bin_12,Not found,Not found,Not found
3300020713-bin_7,Ga0214222_1000064_6,CbcL,Not found
3300020713-bin_7,Ga0214222_1000064_7,CbcL,Not found
3300020713-bin_7,Ga0214222_1000035_37,637127415 NP_953769 {omc} cytochrome c family protein [Geobacter sulfurreducens PCA: NC_002939],Outer Surface MHC in PCC
3300020713-bin_7,Ga0214222_1000028_54,DFE_0448,Not found
3300020713-bin_7,Ga0214222_1000035_34,MtrC_TIGR03507,Outer Surface MHC in PCC
3300020713-bin_7,Ga0214222_1000035_36,MtrC_TIGR03507,Outer Surface MHC in PCC
3300020713-bin_7,Ga0214222_1000035_39,Not found,PCC porin
3300020713-bin_7,Ga0214222_1000035_38,Not found,Outer Surface MHC in PCC
3300020712-bin_4,Ga0214255_1000064_30,MtoA,Not found
3300020712-bin_4,Ga0214255_1000064_31,MtrB_TIGR03509,Not found
3300020730-bin_23,Ga0214216_1001491_2,Cyc2_repCluster2,Not found
3300020730-bin_23,Ga0214216_1002075_2,ImcH,Not found
3300020730-bin_23,Ga0214216_1002139_2,DFE_0449,Not found
3300020730-bin_23,Ga0214216_1002437_3,Not found,Outer Surface MHC
3300020730-bin_23,Ga0214216_1002737_2,Not found,Outer Surface MHC
3300020703-bin_3,Not found,Not found,Not found
3300020724-bin_4,Not found,Not found,Not found
3300020726-bin_3,Ga0214220_1000338_9,MtoA,Not found
3300020726-bin_3,Ga0214220_1000338_10,MtrB_TIGR03509,Not found
3300020726-bin_3,Ga0214220_1000338_11,CymA,Not found
3300020726-bin_3,Ga0214220_1000210_17,Cyc2_repCluster2,Not found
3300020726-bin_3,Ga0214220_1000210_18,Cyc2_repCluster2,Not found
3300020726-bin_3,Ga0214220_1000238_9,Cyc1,Not found
3300020726-bin_3,Ga0214220_1000238_10,Cyc2_repCluster2,Not found
3300020682-bin_2,Ga0214229_100089_32,MtrB_TIGR03509,Not found
3300020682-bin_2,Ga0214229_100089_33,MtoA,Not found
3300020682-bin_2,Ga0214229_100001_2,Cyc2_repCluster2,Not found
3300020683-bin_1,Not found,Not found,Not found
3300021135-bin_29,Ga0214247_1001415_8,Cyc1,Not found
3300021135-bin_29,Ga0214247_1001415_9,Cyc2_repCluster2,Not found
3300021135-bin_29,Ga0214247_1005800_1,MtoA,Not found
3300021135-bin_29,Ga0214247_1005800_2,MtrB_TIGR03509,Not found
3300021135-bin_29,Ga0214247_1000938_10,MtrB_TIGR03509,Not found
3300021135-bin_29,Ga0214247_1000938_11,MtrC_TIGR03507,Outer Surface MHC
3300021135-bin_29,Ga0214247_1000938_4,DFE_0461,Periplasmic MHC in PCC
3300021135-bin_29,Ga0214247_1000938_8,DFE_0462,Periplasmic MHC in PCC
3300021135-bin_29,Ga0214247_1000938_9,MtoA,Periplasmic MHC in PCC
3300020730-bin_21,Not found,Not found,Not found
3300020703-bin_1,Ga0214227_1000489_3,DFE_0448,Outer Surface MHC
3300020703-bin_1,Ga0214227_1000489_4,DFE_0449,Periplasmic MHC in PCC
3300020698-bin_10,Not found,Not found,Not found
3300021135-bin_4,Ga0214247_1000031_50,ImcH,Periplasmic MHC in PCC
3300021135-bin_4,Ga0214247_1000506_20,Cyc2_repCluster2,Not found
3300021135-bin_4,Ga0214247_1000031_57,Not found,Outer Surface MHC
3300020711-bin_8,Not found,Not found,Not found
3300020682-bin_7,Ga0214229_100550_4,MtoA,Not found
3300020682-bin_7,Ga0214229_100550_5,MtrB_TIGR03509,Not found
3300020700-bin_2,Ga0214225_1001119_2,CymA,Not found
3300020700-bin_2,Ga0214225_1001119_3,MtrB_TIGR03509,Not found
3300020700-bin_2,Ga0214225_1001119_4,MtoA,Not found
3300020726-bin_5,Ga0214220_1002016_5,CbcL,Not found
3300020726-bin_14,Not found,Not found,Not found
3300021135-bin_38,Ga0214247_1000180_29,CymA,Not found
3300021135-bin_38,Ga0214247_1000180_30,MtrB_TIGR03509,Not found
3300021135-bin_38,Ga0214247_1000180_31,MtoA,Not found
3300020723-bin_22,Ga0214249_1003097_2,ImcH,Not found
3300020723-bin_22,Ga0214249_1002598_4,CbcL,Not found
3300020723-bin_22,Ga0214249_1001987_2,CbcL,Not found
3300020723-bin_22,Ga0214249_1001914_1,637778189 YP_383877 {omc} hypothetical protein [Geobacter metallireducens GS-15: NC_007517],Not found
3300020723-bin_22,Ga0214249_1001914_2,637127415 NP_953769 {omc} cytochrome c family protein [Geobacter sulfurreducens PCA: NC_002939],Outer Surface MHC in PCC
3300020723-bin_22,Ga0214249_1000405_2,MtrC_TIGR03507,Outer Surface MHC
3300020723-bin_22,Ga0214249_1001914_5,MtrC_TIGR03507,Outer Surface MHC in PCC
3300020723-bin_22,Ga0214249_1001914_4,Not found,PCC porin
3300020723-bin_22,Ga0214249_1001914_3,Not found,Outer Surface MHC in PCC
3300020723-bin_22,Ga0214249_1000415_6,Not found,Outer Surface MHC
