MAG,orf,FeGenie_HMM,Shaomei_Type
B-4_megahit_metabat_bin-304,bin-304:022/432_1,CbcL,Not found
B-4_megahit_metabat_bin-304,bin-304:022/432_2,CbcL,Not found
B-4_megahit_metabat_bin-304,bin-304:022/432_3,ImcH,Not found
B-4_megahit_metabat_bin-304,bin-304:178/432_2,DFE_0465,Not found
B-4_megahit_metabat_bin-304,bin-304:295/432_2,Not found,Outer Surface MHC
B-4_megahit_metabat_bin-116,Not found,Not found,Not found
B-4_megahit_metabat_bin-428,bin-428:019/137_7,Cyc2_repCluster2,Not found
B-4_megahit_metabat_bin-428,bin-428:019/137_8,Cyc1,Not found
B-4_megahit_metabat_bin-428,bin-428:040/137_55,Cyc2_repCluster2,Not found
B-4_megahit_metabat_bin-639,Not found,Not found,Not found
B-4_megahit_metabat_bin-689,Not found,Not found,Not found
B-4_megahit_metabat_bin-224,bin-224:833/897_1,Cyc2_repCluster2,Not found
B-4_megahit_metabat_bin-224,bin-224:709/897_2,DFE_0449,Not found
B-4_megahit_metabat_bin-281,bin-281:389/798_4,Cyc2_repCluster2,Not found
B-4_megahit_metabat_bin-329,bin-329:175/593_1,Cyc2_repCluster2,Not found
B-4_megahit_metabat_bin-329,bin-329:226/593_1,Cyc2_repCluster2,Not found
B-4_megahit_metabat_bin-329,bin-329:130/593_2,FoxZ,Not found
B-4_megahit_metabat_bin-070,bin-070:185/380_26,ImcH,Not found
B-4_megahit_metabat_bin-070,bin-070:356/380_5,CbcL,Not found
B-4_megahit_metabat_bin-070,bin-070:017/380_12,CbcL,Not found
B-4_megahit_metabat_bin-070,bin-070:017/380_5,DFE_0462,Outer Surface MHC
B-4_megahit_metabat_bin-070,bin-070:017/380_8,DFE_0462,Periplasmic MHC in PCC
B-4_megahit_metabat_bin-070,bin-070:374/380_13,DFE_0461,Not found
B-4_megahit_metabat_bin-480,Not found,Not found,Not found
B-4_megahit_metabat_bin-431,bin-431:018/696_3,DFE_0461,Not found
B-4_megahit_metabat_bin-350,Not found,Not found,Not found
B-4_megahit_metabat_bin-014,Not found,Not found,Not found
B-4_megahit_metabat_bin-512,bin-512:35/43_128,Cyc2_repCluster2,Not found
B-4_megahit_metabat_bin-512,bin-512:32/43_7,Cyc2_repCluster2,Not found
B-4_megahit_metabat_bin-196,bin-196:456/597_1,Cyc2_repCluster2,Not found
B-4_megahit_metabat_bin-196,bin-196:120/597_2,Cyc2_repCluster2,Not found
B-4_megahit_metabat_bin-196,bin-196:120/597_3,Cyc1,Not found
B-4_megahit_metabat_bin-196,bin-196:181/597_5,Cyc1,Not found
B-4_megahit_metabat_bin-196,bin-196:181/597_6,Cyc2_repCluster2,Not found
B-4_megahit_metabat_bin-196,bin-196:072/597_2,DFE_0462,Not found
B-4_megahit_metabat_bin-196,bin-196:397/597_7,MtrB_TIGR03509,Not found
