
LinL2_megahit_metabat_bin-0345,0
LinL2_megahit_metabat_bin-0690,0
LinL2_megahit_metabat_bin-0635,0
LinL2_megahit_metabat_bin-0643,9
LinL2_megahit_metabat_bin-0851,0
LinL2_megahit_metabat_bin-0655,0
LinL2_megahit_metabat_bin-0896,1
LinL2_megahit_metabat_bin-0564,0
LinL2_megahit_metabat_bin-0681,0
LinL2_megahit_metabat_bin-0484,0
LinL2_megahit_metabat_bin-0468,0
LinL2_megahit_metabat_bin-0842,1
LinL2_megahit_metabat_bin-0259,0
LinL2_megahit_metabat_bin-0939,0
LinL2_megahit_metabat_bin-0809,0
LinL2_megahit_metabat_bin-0645,0
LinL2_megahit_metabat_bin-0369,0
LinL2_megahit_metabat_bin-0075,0
LinL2_megahit_metabat_bin-0146,0
LinL2_megahit_metabat_bin-0098,0
LinL2_megahit_metabat_bin-0492,1
LinL2_megahit_metabat_bin-0153,0
LinL2_megahit_metabat_bin-0632,0
LinL2_megahit_metabat_bin-0405,0
LinL2_megahit_metabat_bin-0601,0
LinL2_megahit_metabat_bin-0128,0
LinL2_megahit_metabat_bin-0727,0
LinL2_megahit_metabat_bin-0370,0
LinL2_megahit_metabat_bin-0412,0
LinL2_megahit_metabat_bin-0731,0
LinL2_megahit_metabat_bin-0439,9
LinL2_megahit_metabat_bin-0149,0
LinL2_megahit_metabat_bin-0793,0
LinL2_megahit_metabat_bin-0279,0
LinL2_megahit_metabat_bin-1152,0
LinL2_megahit_metabat_bin-1017,0
LinL2_megahit_metabat_bin-0639,0
LinL2_megahit_metabat_bin-1145,0
LinL2_megahit_metabat_bin-0244,1
